lat,long,customer_id,trip_id,week_index,type,ride_count
40.724,-73.838,58,55700900000000.0,80,destination,740
40.724,-73.838,58,55776500000000.0,80,destination,740
40.724,-73.838,58,55877400000000.0,80,destination,740
40.724,-73.838,58,56154700000000.0,80,destination,740
40.724,-73.838,58,56306000000000.0,80,destination,740
40.724,-73.838,58,56381700000000.0,80,destination,740
40.724,-73.838,58,56457300000000.0,80,destination,740
40.724,-73.838,58,56482500000000.0,80,destination,740
40.724,-73.838,58,56608600000000.0,80,destination,740
40.724,-73.838,58,56659000000000.0,80,destination,740
40.724,-73.838,58,56734700000000.0,80,destination,740
40.724,-73.838,58,56835500000000.0,80,destination,740
40.724,-73.838,58,57339800000000.0,80,destination,740
40.724,-73.838,58,57465900000000.0,80,destination,740
40.724,-73.838,58,69569100000000.0,80,destination,740
40.724,-73.838,58,69594300000000.0,80,destination,740
40.724,-73.838,58,69695100000000.0,80,destination,740
40.724,-73.838,58,69770800000000.0,80,destination,740
40.724,-73.838,58,71132400000000.0,80,destination,740
40.724,-73.838,58,71308900000000.0,80,destination,740
40.724,-73.838,58,71334100000000.0,80,destination,740
40.724,-73.838,58,71510600000000.0,80,destination,740
40.724,-73.838,58,71661900000000.0,80,destination,740
40.724,-73.838,58,71737500000000.0,80,destination,740
40.724,-73.838,58,72090500000000.0,80,destination,740
40.724,-73.838,58,72141000000000.0,80,destination,740
40.724,-73.838,58,72216600000000.0,80,destination,740
40.724,-73.838,58,72241800000000.0,80,destination,740
40.724,-73.838,58,72317500000000.0,80,destination,740
40.674,-73.728,58,72468800000000.0,80,destination,75
40.724,-73.838,58,72947900000000.0,80,destination,740
40.724,-73.838,58,72973100000000.0,80,destination,740
40.644,-73.892,58,73200000000000.0,80,destination,1
40.724,-73.838,58,73578200000000.0,80,destination,740
40.724,-73.838,58,74183400000000.0,80,destination,740
40.724,-73.838,58,74561600000000.0,80,destination,740
40.724,-73.838,58,74738100000000.0,80,destination,740
40.724,-73.838,58,74839000000000.0,80,destination,740
